Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-21 16:31:37,19.0786328125,208631,44.392940899558525,1008.8683752379214,36.54405464715491,3,4,6,3,4,6,555,165,35,4,2,2
2025-02-21 16:31:38,19.07609375,207057,44.410975931438855,1008.8744227208692,36.49352835311042,3,4,6,3,4,6,555,165,35,4,2,2
2025-02-21 16:31:39,19.08390625,208631,44.417949225981324,1008.8737241650016,36.499364725651624,2,4,5,2,4,5,537,157,32,3,2,2
2025-02-21 16:31:40,19.09171875,208763,44.42492300886825,1008.8815850312495,36.43368807160556,2,4,5,2,4,5,537,157,32,3,2,2
2025-02-21 16:31:41,19.0872265625,207972,44.41831783503591,1008.8741119636096,36.496124702149274,2,4,5,2,4,5,537,157,32,3,2,2
2025-02-21 16:31:41,19.0925,207057,44.42500975625753,1008.8760369202525,36.48004187243085,2,4,5,2,4,5,552,159,30,4,2,2
2025-02-21 16:31:42,19.09953125,208367,44.43800426626165,1008.8843099289048,36.410921954641346,2,4,5,2,4,5,552,159,30,4,2,2
2025-02-21 16:31:43,19.0942578125,207057,44.437418562839255,1008.8858089461575,36.39839790839773,2,4,5,2,4,5,552,159,30,4,2,2
2025-02-21 16:31:44,19.098359375,207318,44.43787410690342,1008.8840724033057,36.41290644391814,2,4,5,2,4,5,564,161,28,3,1,1
2025-02-21 16:31:45,19.101484375,209693,44.42600740675387,1008.884135137216,36.41238231186119,2,4,5,2,4,5,564,161,28,3,1,1
2025-02-21 16:31:46,19.0883984375,208631,44.43066097003707,1008.8880449922747,36.37971613341279,2,4,5,2,4,5,564,161,28,3,1,1
2025-02-21 16:31:47,19.0872265625,209028,44.42442422637085,1008.8843835448288,36.41030690517331,3,4,4,3,4,4,579,166,25,2,1,1
2025-02-21 16:31:47,19.084296875,209827,44.43631233020126,1008.8777978430531,36.46532955162963,3,4,4,3,4,4,579,166,25,2,1,1
2025-02-21 16:31:48,19.0680859375,210229,44.422299265481705,1008.8679485496255,36.54761960707412,3,4,4,3,4,4,579,166,25,2,1,1
2025-02-21 16:31:49,19.0626171875,208499,44.43390508162446,1008.8656982386648,36.56642086568672,3,4,5,3,4,5,606,172,31,2,1,1
2025-02-21 16:31:50,19.0563671875,209427,44.463746904511154,1008.8689955317027,36.53887212502088,3,4,5,3,4,5,606,172,31,2,1,1
2025-02-21 16:31:51,19.039765625,209560,44.44968850395646,1008.8704776486775,36.52648912557646,3,4,5,3,4,5,606,172,31,2,1,1
2025-02-21 16:31:52,19.035078125,210229,44.45527516995281,1008.8712382520727,36.520134335026796,3,4,5,3,4,5,588,167,33,2,1,1
2025-02-21 16:31:53,19.0321484375,209294,44.47327243019945,1008.8612288974489,36.60376213454395,3,4,5,3,4,5,588,167,33,2,1,1
2025-02-21 16:31:53,19.0188671875,210363,44.47790521762745,1008.8613863333356,36.60244675814537,3,4,5,3,4,5,588,167,33,2,1,1
2025-02-21 16:31:54,19.01671875,211308,44.483774611410645,1008.8612355179455,36.60370682030933,2,4,4,2,4,4,594,167,36,2,0,0
2025-02-21 16:31:55,19.0159375,211579,44.50201316305395,1008.8633592504483,36.58596305522861,2,4,4,2,4,4,594,167,36,2,0,0
